class,filename
0,001_2.bmp
0,001_3.bmp
0,001_6.bmp
1,001_3.bmp
1,001_1.bmp
1,001_2.bmp
2,002_6.bmp
2,002_3.bmp
2,002_2.bmp
3,002_2.bmp
3,002_3.bmp
3,002_4.bmp
4,003_1.bmp
4,003_4.bmp
4,003_6.bmp
5,003_2.bmp
5,003_1.bmp
5,003_3.bmp
6,004_2.bmp
6,004_4.bmp
6,004_3.bmp
7,004_4.bmp
7,004_5.bmp
7,004_3.bmp
8,005_1.bmp
8,005_5.bmp
8,005_2.bmp
9,005_3.bmp
9,005_2.bmp
9,005_5.bmp
10,006_6.bmp
10,006_3.bmp
10,006_1.bmp
11,006_5.bmp
11,006_2.bmp
11,006_1.bmp
12,007_3.bmp
12,007_1.bmp
12,007_2.bmp
13,007_4.bmp
13,007_2.bmp
13,007_6.bmp
14,008_1.bmp
14,008_2.bmp
14,008_5.bmp
15,008_4.bmp
15,008_6.bmp
15,008_2.bmp
16,009_6.bmp
16,009_1.bmp
16,009_3.bmp
17,009_3.bmp
17,009_2.bmp
17,009_1.bmp
18,010_4.bmp
18,010_2.bmp
18,010_6.bmp
19,010_2.bmp
19,010_1.bmp
19,010_3.bmp
20,011_5.bmp
20,011_3.bmp
20,011_4.bmp
21,011_6.bmp
21,011_2.bmp
21,011_5.bmp
22,012_4.bmp
22,012_1.bmp
22,012_3.bmp
23,012_6.bmp
23,012_3.bmp
23,012_1.bmp
24,013_1.bmp
24,013_2.bmp
24,013_3.bmp
25,013_6.bmp
25,013_1.bmp
25,013_3.bmp
26,014_4.bmp
26,014_6.bmp
26,014_3.bmp
27,014_5.bmp
27,014_3.bmp
27,014_4.bmp
28,015_3.bmp
28,015_5.bmp
28,015_4.bmp
29,015_2.bmp
29,015_1.bmp
29,015_4.bmp
30,016_3.bmp
30,016_4.bmp
30,016_5.bmp
31,016_3.bmp
31,016_1.bmp
31,016_5.bmp
32,017_5.bmp
32,017_3.bmp
32,017_1.bmp
33,017_5.bmp
33,017_4.bmp
33,017_2.bmp
34,018_1.bmp
34,018_6.bmp
34,018_5.bmp
35,018_2.bmp
35,018_3.bmp
35,018_1.bmp
36,019_3.bmp
36,019_1.bmp
36,019_5.bmp
37,019_3.bmp
37,019_4.bmp
37,019_5.bmp
38,020_5.bmp
38,020_1.bmp
38,020_6.bmp
39,020_5.bmp
39,020_4.bmp
39,020_1.bmp
40,021_1.bmp
40,021_6.bmp
40,021_5.bmp
41,021_4.bmp
41,021_6.bmp
41,021_3.bmp
42,022_5.bmp
42,022_3.bmp
42,022_1.bmp
43,022_3.bmp
43,022_5.bmp
43,022_2.bmp
44,023_2.bmp
44,023_1.bmp
44,023_6.bmp
45,023_5.bmp
45,023_3.bmp
45,023_4.bmp
46,024_6.bmp
46,024_5.bmp
46,024_2.bmp
47,024_1.bmp
47,024_2.bmp
47,024_5.bmp
48,025_1.bmp
48,025_4.bmp
48,025_2.bmp
49,025_6.bmp
49,025_5.bmp
49,025_3.bmp
50,026_4.bmp
50,026_5.bmp
50,026_6.bmp
51,026_3.bmp
51,026_4.bmp
51,026_5.bmp
52,027_5.bmp
52,027_3.bmp
52,027_2.bmp
53,027_2.bmp
