session2_index,session1_index,similarity
0,284,0.7850843667984009
1,1,0.7445233464241028
2,2,0.8348731398582458
3,3,0.7891789078712463
4,4,0.8176599740982056
5,5,0.7051177620887756
6,6,0.9383993148803711
7,7,0.8235892653465271
8,8,0.8941931128501892
9,9,0.820131242275238
10,10,0.902798056602478
11,11,0.9255784749984741
12,12,0.946379542350769
13,271,0.7958727478981018
14,14,0.9146906137466431
15,15,0.8941937685012817
16,16,0.8342897891998291
17,17,0.9564328789710999
18,18,0.9043847322463989
19,19,0.9186520576477051
20,390,0.8191366195678711
21,21,0.7489972114562988
22,22,0.8723891973495483
23,467,0.8521690964698792
24,562,0.7938489317893982
25,25,0.703665018081665
26,26,0.825249433517456
27,357,0.8712373375892639
28,28,0.9527335166931152
29,29,0.970539927482605
30,30,0.9284482598304749
31,31,0.9811703562736511
32,32,0.9058818221092224
33,33,0.9155216217041016
34,34,0.9792093634605408
35,35,0.9576665759086609
36,36,0.8781425952911377
37,37,0.9667207598686218
38,130,0.5839002132415771
39,39,0.9322549700737
40,209,0.6559028029441833
41,41,0.8264866471290588
42,540,0.7872003316879272
43,43,0.9012888669967651
44,44,0.8705414533615112
45,45,0.9388297200202942
46,548,0.9059654474258423
47,429,0.9097486734390259
48,48,0.9219986200332642
49,49,0.958617627620697
50,50,0.9490892291069031
51,51,0.9176492094993591
52,52,0.9708662629127502
53,371,0.7843290567398071
54,54,0.9611787796020508
55,55,0.8706416487693787
56,246,0.8732904195785522
57,57,0.9332159757614136
58,58,0.9532728791236877
59,59,0.9464439749717712
60,60,0.9672477841377258
61,61,0.8804449439048767
62,62,0.9033163785934448
63,63,0.9375172853469849
64,64,0.8669605255126953
65,65,0.8917973637580872
66,66,0.8533722758293152
67,67,0.8384677171707153
68,38,0.6959580183029175
69,69,0.675845205783844
70,70,0.8266944885253906
71,71,0.9393239617347717
72,72,0.9719112515449524
73,73,0.8655106425285339
74,74,0.9791191220283508
75,75,0.9342556595802307
76,76,0.9170177578926086
77,77,0.7697564363479614
78,78,0.818813681602478
79,79,0.7936741709709167
80,584,0.8620676398277283
81,81,0.9086048007011414
82,82,0.8897902965545654
83,83,0.9055855870246887
84,84,0.9617136716842651
85,85,0.8944028615951538
86,86,0.8660967946052551
87,87,0.9471248388290405
88,88,0.9249510765075684
89,89,0.7936336398124695
90,90,0.9413079023361206
91,91,0.9765493273735046
92,92,0.8523542284965515
93,93,0.9093921780586243
94,94,0.9170776009559631
95,95,0.8968238830566406
96,96,0.8774063587188721
97,97,0.9487719535827637
98,98,0.9822888374328613
